Person Name,VIAF ID,Aliases
Stanislaus Augustus Poniatowsky,26221,Stanislaus Augustus Poniatowsky
Duke Marlborough,29153,Duke of Marlborough; D. of Marlborough
Vale Vicor,,Vale. Vicor
Sebastian Mello,30977,Sebastian Joseph de Carvalho e Mello
Pierre Grosley,40093,Pierre Jean Grosley
John Michaelis,40220,John David Michaelis
Anna Maria van Schurman,54190263,Anna Maria van Schurman; Anna Maria Schurman; A. M. Schurman
William Paget,306420532,William Paget; Lord Pagets'; Lord Paget
Tobias Stranover,95802130,Tobias Stranover; Strannover
Prince of Hesse,37977693,Prince of Hesse; prince of Hesses; Georg von Hessen-Darmstadt
Philip 2nd of Spain,,Phillip the 2d.; Philip 2d; Philip. 2d
Abbe Bernardo Sterbini,,Abbe Sterbinis; Abbe Sterbini; Abbe Sterpini; Sigr. Sterbini; Abbot Sterbini; L'Abbe Sterbini
Charles Gray,42182,Charles Gray
Matthew Morris,42225,Matthew Robinson Morris
John Clerk,60021,John Clerk
Hans Sloane,77959,"Hans Sloane; Sir Hans Sloane; Sr. Hans; Sr. Hans Sloane; Sloane Sir Hans; Sloane, Sr. Hans.; Dr. Sloane"
Marcello Malpighi,85044,Marcello Malpighi; Signior Malpighi
Pierre Montmort,93909,Petro Remundo de Monmort; Pierre Raymond de Monmort; Pierre Remond de Montmort
Carlo Fracassati,108057,Carlo Fracassati; Signior Fracassati
Moyse Charas,117486,Moise Charas; Moyse Charas
Hans Holbein,4945401,Hans Holbein; Holben; Holbein
Housman,,Housman
Gerhard Muller,126731,Gerhard Friedrich Muller
Giulio Sacchetti,155498,Giulio Sacchetti
Johann Jakob Dillenius,156009,Joannes Jacobus Dillenius; Johann Jakob Dillenius
Michaele Bernado Valentini,175833,Michaele Bernado Valentini
Robert Clive,176192,Robert Clive
Antonio Vallisneri,194577,Antonio Valisnieri; Antonio Vallisneri
Edward Bernard,237497,Edward Bernard
William Faithorne,284244,William Faithorne; Faithorn; Wm. Faithorn; Faithorne; Mr. Faithorn
Alexander Danilovich Menzicoff,300140,Alexander Danilovich Menzicoff
Daniel Whistler,361641,Daniel Whistler
John Ash,363997,John Ash
Samuel Keres-Eer,366106,Samuel Köleséri von Keres-Eer; Samuel Koleseri
Johann Nathaniel Lieberkuhn,441684,Johann Nathaniel Lieberkuhn
Friedrich August von Hardenberg,774683,Friedrich August von Hardenberg
Woods Rogers,792439,Woods Rogers
Queen Anne,805714,Q. Anne; Queen Anne
Queen Catherine,,Q. Catherine; Q: Catherine; Queen Catherine
Baron Botmar,805877,Baron Botmar
Rachel Russell,822823,Rachel Russell
Thomas Sherley,849367,Thomas Sherley; Dr Sherley
Willem Buys,895409,Willem Buys
Charles Chauncy,934497,Charles Chauncy
Nathaniel Forster,956203,Nathaniel Forster
William Godolphin,1456147,William Godolphin
Richard Richardson,1499948,Dr Richardson; Richard Richardson; Dr. Richardson
John Bevis,2319765,John Bevis
Henry Henricksen,2327009,Henry Henricksen
John Campbell,2331192,John Campbell
Anthony Morgan,2358196,Anthony Morgan
John Brownlow,2378232,John Brownlow
Paul Whichcote,2411429,Paul Whichcote
Moliere,2474502,Moliere
Antoine Laurent Lavoisier,2495579,Antoine Laurent Lavoisier
Paolo Frisi,2496935,Paolo Frisi
James Caldwell,2508854,James Caldwell
Pedro Franco,2519559,Pedro Franco Dávila
Robert Clayton,2521078,Robert Clayton
Walter Moyle,2546468,Mr. Moyle; Walter Moyle
Johann Gabriel Doppelmayr,2551924,Johann Gabriel Doppelmayr
Francois de Bremond,2556684,Francois de Bremond
Peter Jonas Bergius,2589083,Peter Jonas Bergius
Georg Christoph Eimmart,2604336,Georg Christoph Eimmart; G. C. Eimmart
Capt Christopher Middleton,2604452,Capt Middleton; Capt Christophr Middleton; Capt : Middleton; Capt Christophr. Middleton; Capt. Midleton.
Domenico Ferrari,2735066,Domenico Ferrari
John Warburton,2769606,John Warburton
James Sherard,2788543,James Sherard
William Hewson,2809212,William Hewson
Jeffrey Gilbert,2818730,Jeffrey Gilbert
James Hodgson,2821751,Jacobo Hodgson; James Hodgson; Mr. Hodgson
Domenico Bottoni,2832039,Domenico Bottoni
Benjamin Langwith,2832981,Benjamin Langwith
