Place Name,Latitude,Longitude,VIAF ID,Aliases
Aachen,50.774209,6.08443,124330404,Aquisgrana
Achres,52.7408144,-9.8569622,,Achies cliffe; Achres a sea cliffe in the County of Donegall in Ireland
Acon,48.772054,1.105327,53152501151310681322,sands near Acon
Aethiopia,7.996115,38.896778,132211363,Aethiopia; Æthiopish
Africa,21.638471,3.924068,123310773,Africa
Agrafee,,,,Agrafee
Alexandria,31.2,29.916667,129002681,Alexandria
Alps,46.881248,9.64893,315124935,Alps
Althorp,52.281354,-0.99999,241241514,Althorp in Northamptonshire; Althorpe; Althrop
AmbonIsland,7.891936,112.921283,143083976,Amboina
America,39.715956,-96.999668,130168302,America
Amesbury,51.166161,-1.772559,133691467,Amesbury on Salisbury plain in Wiltshire
Amsterdam,52.37243,4.89973,242059897,Amsterdam; Amster= dam
Andes,-32.0,-70.0,316874805,Andes
Anglesey,,,134877579,Anglesey
Angola,-12.180859,17.996347,152395020,Angola
Antigua,17.06938,-61.809739,124921812,Antego; Antegoa; Antegua; Antigua
Antwerp,51.221111,4.399722,154177642,Antwerp
Arabia,18.2672,42.3681,315125202,Arabia
Arkendale,54.041351,-1.415949,,Arkindale in Yorkshire
Ashante,5.45,-0.966667,138543438,Ashante; Ashanta
Ashover Derbyshire,53.170423,-1.488294,143323430,"Ashover church yard Derbyshire at the W, end of the church close to the foundation"
Athens,37.984167,23.728056,131280462,Athens
Baden,47.478379,8.309237,140192382,Badam in libera; Baden
Badminton,51.543,-2.285,127943223,Badminton
Bahamas,24.669637,-78.018505,131337264,Bahama Islands
Staines,51.429037,-0.502129,134932498,Stains
Barbados,13.144115,-59.555728,146498747,Barbadoes; Barbados
Barbary,30.0,5.0,235904198,Barbary
Barcelona,41.400347,2.159592,124213732,Barce= =lona; Barce= lona; Barcelona
Batavia,-6.21462,106.84513,267149707,Batavia
Bath,51.3751,-2.36172,137153818,Bath
Bavaria,48.768814,11.658165,125426357,Bavaria
Bay of Bengal,11.736084,79.787299,156294421,Bay of Bengale
Beaufort House,,,,Beaufort House
Bedford,52.135,-0.47,143101968,Bedford
Bedfordshire,52.097285,-0.465535,131308391,Bedfordshire
Belvoir castle,52.8945,-0.782561,239710836,Belvoir castle
Benbulbin Sligo,54.122697,-8.778625,237259345,Benbrishen in Slego; Benbuyshen in Ireland near Slego; Benbuysken in Ireland; Benbwysgen a high mountain near Murtagh mor in the County of Slego in Ireland
Bengal,24.08662,88.561746,130118089,Bengal; Bengall
Berbice,5.549458,-58.060081,268417032,Belbices; Berbice; Berbices; Berbicos
Berkshire,51.469957,-1.052738,134858717,Barkshire
Berlin,52.52045,13.40732,122530980,Berlin
Bermudas,32.296698,-64.764346,126599932,Bermu das; Bermudas; Bermudus
Bern,46.793594,7.612656,237298336,Bern
Bethlehem,31.630382,35.315488,129025607,Bethlehem; Bethlem
Bishopsgate,51.515573,-0.081654,154706100,Bishops gate; Bishops - gate
Mary,51.524641,-0.116293,,black Marys near Grayes inn lane
Blackwall,51.5063,-0.0034,153769983,Black wall
Bladen quarry,54.960462,-1.747203,186782702,Bladen quarry
Blenheim House,51.841017,-1.359993,151794179,gravell pitt nigh Blenheim house in Oxfordshr
Bloomsbury,51.5262,-0.1178,147765588,Bloomsbury
Bloomsbury Square,51.518694,-0.123119,,Bloomsbury Square
Bohemia,50.065715,14.438851,153626210,Bohemia
Bombay,18.975,72.825833,145957840,Bombaie
Bonani,,,,Bonani
Bondrouse,54.925045,-7.991124,135336679,Bondrouse in the County of Donegall in Ireland
Borneo,3.497381,117.844614,248054003,Borneo
Bourdeaux,44.586633,5.17224,246236571,Bourdeaux
Bourne Sussex,,,,Bourne in Sussex
Bow Lane,51.513238,-0.093558,,Bowlane
Bradford,53.854197,-1.875357,153631400,near Bradford
Bradwell Liberty,53.326931,-1.740689,,Bradrall liberty in Derbyshire.
Brasil,-11.928923,-49.542449,142985214,Brasile
Bratislava,48.14404,17.106743,244550567,Presburg
Brightling,50.963,0.398,146556747,Brightling
Bristol,51.455662,-2.582966,142803650,hope near Bristol; Bristoll; Bristol
Broughton Craven,53.956841,-2.08999,256095765,Broughton in Craven
Brussels,50.733183,4.436117,150675140,Brussels
Buckby,52.302991,-1.080859,137490784,Buckby
Buckinghamshire,51.833333,-0.833333,148916436,buckinghamshire
Buenos Ayres,-34.603333,-58.381667,155960902,buenos Ayres
Bugthorpe,54.009889,-0.820988,294005587,Bug thorp; Bugthorp
Bullington Green,51.167513,-1.351031,,Bullington Green
Burrowbridge,51.069644,-2.918454,,Burrow bridge; Burrowbridge
Cadiz,36.55139,-5.883249,133675177,Cadize
Calabria,39.067571,16.347506,155870508,Calabria
Caldey Island,51.637953,-4.694001,152380653,Caldy Island
Cambridge,52.204059,0.135671,139487232,Cambridge
Cambridgeshire,52.333333,0.0,153543201,cambridgeshire
Camden,51.554399,-0.157355,124371179,Camdeno
Campeche,18.684911,-90.195616,136049224,Campeche
Bay Campeche,19.669739,-93.558963,315160770,bay of Campeche
Canada,58.33747,-112.384858,136600716,Canada
Canaries,28.34136,-15.668178,148386330,Canaries
Canterbury,51.275964,1.08237,235007026,Canterbury; Canterbury.
Canton,23.4,113.5,268375304,Canton
Kintyre Scotland,55.564736,-5.577763,236365773,Cantyre in the Highlands of Scotland
Cape Good Hope,-34.35715,18.473957,22148120436794790133,bank of the Cape of good hope; cape. of good hope
Cape Verde,15.111111,-23.616667,123091922,Cape Verd
Carber,,,,Carber
Cardiganshire,52.285955,-3.981322,158296428,Cardiganshire
Caribbean Islands,19.120615,-74.737653,143649512,Caribe Islands
Carmarthen,51.854096,-4.312091,237263761,Carmarthen
Carnuntum,48.112991,16.861097,235455520,Carnuntum; Carnuntum nigh Petronell 3 German miles from Presburg 7 from Vienna.
Carolina,34.794608,-80.512695,6493165060253732740003,Carolina; >Carolina
Cartagena,10.39972,-75.51444,238517527,Cartagena; Carthagena; Carthayener in America
Carthage,36.857522,10.329391,173199953,Carthage
Catalonia,41.798469,1.528745,159380011,Catalonia
Cave Anglesey,53.410937,-4.349421,124312582,cave by the sea side near Amlock in Anglesey
Celebes,-6.348351,106.782326,240805445,Celebes
Ceylon,7.622919,80.68822,137707668,Ceylon; Island Zeylan
Chalk pitts Greenwich,51.4693,0.054498,130178328,chalk pitts near Green= =wich in Kent; chalk pitts near Greenwich in Kent
Chanbbees,,,,Chanbbees
Charlton chalk pits,51.48639,0.03651,,Charlton chalk pitts
Chatham,51.379873,0.522549,147755335,blackstakes at Chattham; Chattham
Chelsea,51.486925,-0.167411,145404323,Chelsea
Cheshire,53.186834,-2.794877,132529210,Cheshire
Chile,-30.0,-71.0,233665742,Chili
Chiltern Country,51.682334,-0.767038,248543380,Chiltern Country
China,32.523743,106.431983,132441531,China; Chinese/China
Chiswick,51.483319,-0.267325,133795859,Chiswick
Chorley,51.742167,-1.324848,,Chauley in Berkshire; Chawley in Cumner in Berkshire
Cicero house,41.255519,13.606887,,Cicero's house at Mola between Gayette & Cuma at Formio
